"Freq [GHz]","dB(S(Port,Port)) []"
1.75,-0.207955811277051
1.75125,-0.211755782196667
1.7525,-0.215659657788612
1.75375,-0.219671195864103
1.755,-0.22379432343839
1.75625,-0.22803314585212
1.7575,-0.232391956465182
1.75875,-0.236875246963946
1.76,-0.241487718326192
1.76125,-0.246234292491542
1.7625,-0.251120124789107
1.76375,-0.25615061717846
1.765,-0.261331432364484
1.76625,-0.266668508851811
1.7675,-0.272168077010219
1.76875,-0.277836676228153
1.77,-0.283681173238445
1.77125,-0.289708781707361
1.7725,-0.295927083186124
1.77375,-0.302344049532813
1.775,-0.308968066922003
1.77625,-0.315807961570161
1.7775,-0.322873027316145
1.77875,-0.330173055208995
1.78,-0.33771836526912
1.78125,-0.345519840604344
1.7825,-0.353588964079183
1.78375,-0.361937857754391
1.785,-0.370579325334679
1.78625,-0.379526897884751
1.7875,-0.388794883099708
1.78875,-0.398398418442999
1.79,-0.408353528496594
1.79125,-0.418677186901769
1.7925,-0.429387383307152
1.79375,-0.440503195782606
1.795,-0.452044869204433
1.79625,-0.46403390016931
1.7975,-0.476493129052448
1.79875,-0.48944683988973
1.8,-0.502920868835882
1.80125,-0.516942722030556
1.8025,-0.531541703794341
1.80375,-0.546749056176553
1.805,-0.562598110989104
1.80625,-0.579124455586154
1.8075,-0.596366113790224
1.80875,-0.614363743523332
1.81,-0.633160852879181
1.81125,-0.652804036571834
1.8125,-0.673343234920804
1.81375,-0.694832017785006
1.815,-0.7173278961431
1.81625,-0.740892664338973
1.8175,-0.765592776374244
1.81875,-0.791499760039882
1.82,-0.818690673143454
1.82125,-0.847248606614541
1.8225,-0.877263239866947
1.82375,-0.908831454473441
1.825,-0.942058012977527
1.82625,-0.977056310541584
1.8275,-1.0139492081265
1.82875,-1.05286995703339
1.83,-1.09396322593404
1.83125,-1.13738624299767
1.8325,-1.18331006741728
1.83375,-1.2319210065816
1.835,-1.28342219737104
1.83625,-1.3380353726221
1.8375,-1.39600283676506
1.83875,-1.45758967805948
1.84,-1.52308624881497
1.84125,-1.59281094959157
1.8425,-1.66711335874701
1.84375,-1.7463777549931
1.845,-1.83102708803012
1.84625,-1.92152746109236
1.8475,-2.0183931996711
1.84875,-2.1221925931852
1.85,-2.23355441147246
1.85125,-2.35317531636496
1.8525,-2.48182831121203
1.85375,-2.6203723992429
1.855,-2.76976365677161
1.85625,-2.93106797164732
1.8575,-3.10547575404335
1.85875,-3.29431899969497
1.86,-3.49909118047932
1.86125,-3.7214705610478
1.8625,-3.96334770266672
1.86375,-4.22685812886777
1.865,-4.51442140729967
1.86625,-4.82878826586809
1.8675,-5.17309782554111
1.86875,-5.55094760396297
1.87,-5.96647959774309
1.87125,-6.42448637429091
1.8725,-6.93054136599855
1.87375,-7.49115660054847
1.875,-8.1139667778338
1.87625,-8.80792563267667
1.8775,-9.58346580640517
1.87875,-10.4524840872743
1.88,-11.4277861023636
1.88125,-12.5210451068542
1.8825,-13.7368799727729
1.88375,-15.0573133507686
1.885,-16.4053555393653
1.88625,-17.5807832673734
1.8875,-18.2324554853879
1.88875,-18.0630197041964
1.89,-17.1604368496531
1.89125,-15.8881631529179
1.8925,-14.5431259196081
1.89375,-13.267213791514
1.895,-12.1072656000519
1.89625,-11.0692109672384
1.8975,-10.1444078416859
1.89875,-9.32028534538856
1.9,-8.58425592547212
1.90125,-7.92497918065629
1.9025,-7.33262921938804
1.90375,-6.79881157169541
1.905,-6.31637784595128
1.90625,-5.87923009235318
1.9075,-5.48214565485238
1.90875,-5.1206297681867
1.91,-4.79079463737741
1.91125,-4.48926115504209
1.9125,-4.2130790956772
1.91375,-3.95966208910043
1.915,-3.72673432819393
1.91625,-3.51228658994925
1.9175,-3.31453967570381
1.91875,-3.13191379774117
1.92,-2.96300276727595
1.92125,-2.80655209063121
1.9225,-2.66144027275879
1.92375,-2.52666277411845
1.925,-2.40131817939482
1.92625,-2.28459622309508
1.9275,-2.17576738414882
1.92875,-2.07417381402694
1.93,-1.97922140417299
1.93125,-1.89037283135447
1.9325,-1.80714144586521
1.93375,-1.7290858888169
1.935,-1.65580534215315
1.93625,-1.58693532933695
1.9375,-1.52214399653569
1.93875,-1.46112881404128
1.94,-1.40361364599321
1.94125,-1.34934614350932
1.9425,-1.29809542230512
1.94375,-1.24964999097792
1.945,-1.20381590049528
