"Freq [GHz]","cang_rad(S(Port,Port)) [rad]"
1.75,-2.23985167199903
1.75125,-2.24471145914504
1.7525,-2.24961125894522
1.75375,-2.2545521270254
1.755,-2.25953515562844
1.75625,-2.26456147518952
1.7575,-2.26963225599181
1.75875,-2.27474870990728
1.76,-2.27991209222772
1.76125,-2.28512370359121
1.7625,-2.29038489200998
1.76375,-2.29569705500557
1.765,-2.30106164185797
1.76625,-2.30648015597563
1.7675,-2.31195415739385
1.76875,-2.31748526540942
1.77,-2.32307516136024
1.77125,-2.32872559155872
1.7725,-2.33443837038909
1.77375,-2.34021538357871
1.775,-2.34605859165487
1.77625,-2.35197003359882
1.7775,-2.35795183071012
1.77875,-2.36400619069488
1.78,-2.37013541199285
1.78125,-2.37634188835909
1.7825,-2.38262811371737
1.78375,-2.38899668730356
1.785,-2.3954503191186
1.78625,-2.40199183571232
1.7875,-2.40862418632069
1.78875,-2.41535044938105
1.79,-2.42217383945147
1.79125,-2.42909771456272
1.7925,-2.43612558403312
1.79375,-2.4432611167792
1.795,-2.45050815015743
1.79625,-2.45787069937516
1.7975,-2.46535296751173
1.79875,-2.47295935619407
1.8,-2.48069447697445
1.80125,-2.48856316346183
1.8025,-2.49657048426237
1.80375,-2.504721756789
1.805,-2.51302256200456
1.80625,-2.52147876016852
1.8075,-2.53009650766241
1.80875,-2.53888227497532
1.81,-2.54784286593738
1.81125,-2.55698543829591
1.8125,-2.56631752573674
1.81375,-2.57584706146125
1.815,-2.58558240343877
1.81625,-2.5955323614632
1.8175,-2.60570622615357
1.81875,-2.6161138000493
1.82,-2.62676543096316
1.82125,-2.63767204776831
1.8225,-2.64884519881058
1.82375,-2.66029709315262
1.825,-2.67204064487463
1.82625,-2.68408952067536
1.8275,-2.69645819103915
1.82875,-2.70916198525871
1.83,-2.7222171506315
1.83125,-2.73564091617925
1.8325,-2.74945156127733
1.83375,-2.76366848962517
1.835,-2.77831230904173
1.83625,-2.7934049176353
1.8375,-2.80896959697738
1.83875,-2.82503111301282
1.84,-2.84161582556813
1.84125,-2.85875180748937
1.8425,-2.87646897466137
1.84375,-2.89479922845274
1.845,-2.9137766125196
1.84625,-2.93343748642249
1.8475,-2.95382071921408
1.84875,-2.97496790710725
1.85,-2.99692362062818
1.85125,-3.01973568842732
1.8525,-3.0434555273434
1.85375,-3.0681385316456
1.855,-3.09384453897423
1.85625,-3.12063839686451
1.8575,-3.14859066259278
1.85875,-3.17777848146406
1.86,-3.20828670606958
1.86125,-3.24020934369021
1.8625,-3.27365145419371
1.86375,-3.3087316714265
1.865,-3.34558559482966
1.86625,-3.38437040664894
1.8675,-3.4252712324295
1.86875,-3.46851000882212
1.87,-3.51435800304175
1.87125,-3.56315372650345
1.8725,-3.61532894469329
1.87375,-3.67144705566942
1.875,-3.7322607296853
1.87625,-3.79880014654352
1.8775,-3.87251077525946
1.87875,-3.95547256451972
1.88,-4.05075327983042
1.88125,-4.16297658271362
1.8825,-4.29919388171943
1.88375,-4.46999060689074
1.885,-4.68983890911995
1.88625,-4.97258608517336
1.8875,-5.31440403847651
1.88875,-5.67394097776082
1.89,-5.9945347231093
1.89125,-6.25066287587646
1.8925,-6.44859984877035
1.89375,-6.603634091301
1.895,-6.72879222859408
1.89625,-6.83311108620213
1.8975,-6.92254277355789
1.89875,-7.00100350584578
1.9,-7.07111488262881
1.90125,-7.1346737781484
1.9025,-7.19294336436745
1.90375,-7.24683437927061
1.905,-7.29701987803059
1.90625,-7.34400930947058
1.9075,-7.38819729271313
1.90875,-7.42989634509753
1.91,-7.46935922672738
1.91125,-7.50679444033473
1.9125,-7.54237714111373
1.91375,-7.5762569205268
1.915,-7.60856343149543
1.91625,-7.63941050447218
1.9175,-7.66889919668377
1.91875,-7.69712007954363
1.92,-7.7241549769021
1.92125,-7.75007830387815
1.9225,-7.77495811262624
1.92375,-7.79885692116127
1.925,-7.82183238011202
1.92625,-7.8439378172142
1.9275,-7.86522268861064
1.92875,-7.88573295831375
1.93,-7.90551142161961
1.93125,-7.92459798422662
1.9325,-7.94302990587009
1.93375,-7.96084201513207
1.935,-7.97806690050335
1.93625,-7.99473508160625
1.9375,-8.0108751636201
1.93875,-8.02651397730447
1.94,-8.04167670653007
1.94125,-8.0563870048607
1.9425,-8.07066710245051
1.94375,-8.08453790430641
1.945,-8.09801908079957
1.94625,-8.11112915117936
1.9475,-8.12388556073971
1.94875,-8.13630475220507
1.95,-8.14840223183491
1.95125,-8.16019263069047
1.9525,-8.17168976145986
1.95375,-8.18290667119883
1.955,-8.19385569030959
1.95625,-8.20454847805096
1.9575,-8.214996064847
1.95875,-8.22520889163832
1.96,-8.23519684649944
1.96125,-8.24496929872783
1.9625,-8.25453513059268
1.96375,-8.26390276691731
1.965,-8.27308020265469
1.96625,-8.28207502860342
1.9675,-8.29089445539985
1.96875,-8.29954533591167
1.97,-8.30803418614848
1.97125,-8.31636720479625
1.9725,-8.32455029147411
1.97375,-8.33258906380474
1.975,-8.3404888733825
1.97625,-8.34825482071715
1.9775,-8.35589176922529
1.97875,-8.36340435833596
1.98,-8.37079701577224
1.98125,-8.37807396906563
1.9825,-8.38523925635637
1.98375,-8.39229673652829
1.985,-8.39925009872374
1.98625,-8.40610287128045
1.9875,-8.41285843012932
1.98875,-8.41952000668922
1.99,-8.42609069529223
1.99125,-8.43257346017049
1.9925,-8.43897114203336
1.99375,-8.44528646426185
1.995,-8.45152203874496
1.99625,-8.4576803713813
1.9975,-8.46376386726725
1.99875,-8.46977483559178
2,-8.47571549425651
2.00125,-8.48158797423821
2.0025,-8.48739432371003
2.00375,-8.4931365119362
2.005,-8.49881643295451
2.00625,-8.5044359090593
2.0075,-8.50999669409728
2.00875,-8.51550047658749
2.01,-8.52094888267601
2.01125,-8.52634347893512
2.0125,-8.53168577501649
2.01375,-8.53697722616662
2.015,-8.54221923561292
2.01625,-8.54741315682777
2.0175,-8.55256029567769
2.01875,-8.55766191246429
2.02,-8.56271922386296
2.02125,-8.56773340476539
2.0225,-8.5727055900311
2.02375,-8.57763687615323
2.025,-8.5825283228432
2.02625,-8.58738095453896
2.0275,-8.59219576184075
2.02875,-8.5969737028785
2.03,-8.60171570461457
2.03125,-8.60642266408524
2.0325,-8.6110954495842
2.03375,-8.61573490179128
2.035,-8.62034183484914
2.03625,-8.62491703739074
2.0375,-8.62946127352014
2.03875,-8.63397528374905
2.04,-8.63845978589134
2.04125,-8.64291547591785
2.0425,-8.64734302877322
2.04375,-8.65174309915698
2.045,-8.65611632227046
2.04625,-8.6604633145313
2.0475,-8.66478467425719
2.04875,-8.66908098232038
2.05,-8.67335280277425
2.05125,-8.67760068345349
2.0525,-8.68182515654901
2.05375,-8.6860267391589
2.055,-8.69020593381651
2.05625,-8.69436322899678
2.0575,-8.69849909960185
2.05875,-8.70261400742688
2.06,-8.70670840160703
2.06125,-8.71078271904651
2.0625,-8.71483738483042
2.06375,-8.71887281262032
2.065,-8.72288940503413
2.06625,-8.72688755401111
2.0675,-8.73086764116269
2.06875,-8.73483003810962
2.07,-8.73877510680618
2.07125,-8.74270319985192
2.0725,-8.74661466079159
2.07375,-8.75050982440372
2.075,-8.75438901697823
2.07625,-8.75825255658381
2.0775,-8.76210075332525
2.07875,-8.76593390959129
2.08,-8.76975232029332
2.08125,-8.77355627309545
2.0825,-8.77734604863609
2.08375,-8.78112192074159
2.085,-8.78488415663222
2.08625,-8.78863301712073
2.0875,-8.79236875680392
2.08875,-8.79609162424733
2.09,-8.79980186216361
2.09125,-8.80349970758445
2.0925,-8.80718539202673
2.09375,-8.81085914165276
2.095,-8.81452117742511
2.09625,-8.81817171525614
2.0975,-8.82181096615238
2.09875,-8.82543913635408
2.1,-8.82905642747004
2.10125,-8.83266303660796
2.1025,-8.83625915650036
2.10375,-8.83984497562648
2.105,-8.84342067832999
2.10625,-8.84698644493295
2.1075,-8.85054245184607
2.10875,-8.85408887167528
2.11,-8.85762587332498
2.11125,-8.8611536220979
2.1125,-8.86467227979182
2.11375,-8.86818200479315
2.115,-8.87168295216762
2.11625,-8.87517527374808
2.1175,-8.87865911821955
2.11875,-8.88213463120162
2.12,-8.88560195532832
2.12125,-8.88906123032549
2.1225,-8.89251259308581
2.12375,-8.89595617774151
2.125,-8.89939211573487
2.12625,-8.90282053588663
2.1275,-8.90624156446228
2.12875,-8.90965532523638
2.13,-8.91306193955504
2.13125,-8.91646152639639
2.1325,-8.91985420242942
2.13375,-8.92324008207101
2.135,-8.9266192775413
2.13625,-8.92999189891744
2.1375,-8.93335805418583
2.13875,-8.93671784929279
2.14,-8.94007138819382
2.14125,-8.94341877290142
2.1425,-8.9467601035316
2.14375,-8.95009547834901
2.145,-8.9534249938108
2.14625,-8.95674874460936
2.1475,-8.96006682371368
2.14875,-8.96337932240976
2.15,-8.9666863303397
2.15125,-8.9699879355399
2.1525,-8.9732842244781
2.15375,-8.97657528208941
2.155,-8.9798611918114
2.15625,-8.98314203561825
2.1575,-8.98641789405393
2.15875,-8.98968884626448
2.16,-8.99295497002954
2.16125,-8.9962163417929
2.1625,-8.99947303669232
2.16375,-9.00272512858853
